p,proj_class,raw_label,j5,b_p,abs_a_p,a_p_exact,Re_a_p,Im_a_p,chi_p_exact,Re_chi,Im_chi
257,3A,2,4,1,1,+zeta10^4,-0.8090169944,0.5877852523,zeta5^4,0.3090169944,-0.9510565163
263,5B/5A,4,0,-1,phi,-zeta10^0*phi,-1.618033989,0,zeta5^0,1,0
269,2A,1,0,0,0,0,0,0,zeta5^0,1,0
271,5B/5A,4,1,1,phi,+zeta10^1*phi,1.309016994,0.9510565163,zeta5^1,0.3090169944,0.9510565163
277,2A,1,2,0,0,0,0,0,zeta5^2,-0.8090169944,0.5877852523
281,5B/5A,4,4,-1,phi,-zeta10^4*phi,1.309016994,-0.9510565163,zeta5^4,0.3090169944,-0.9510565163
283,5A/5B,3,4,1,1/phi,+zeta10^4*1/phi,-0.5,0.363271264,zeta5^4,0.3090169944,-0.9510565163
293,2A,1,1,0,0,0,0,0,zeta5^1,0.3090169944,0.9510565163
307,5A/5B,3,1,1,1/phi,+zeta10^1*1/phi,0.5,0.363271264,zeta5^1,0.3090169944,0.9510565163
311,3A,2,1,1,1,+zeta10^1,0.8090169944,0.5877852523,zeta5^1,0.3090169944,0.9510565163
313,5B/5A,4,1,-1,phi,-zeta10^1*phi,-1.309016994,-0.9510565163,zeta5^1,0.3090169944,0.9510565163
317,3A,2,2,1,1,+zeta10^2,0.3090169944,0.9510565163,zeta5^2,-0.8090169944,0.5877852523
331,3A,2,0,-1,1,-zeta10^0,-1,0,zeta5^0,1,0
337,3A,2,4,-1,1,-zeta10^4,0.8090169944,-0.5877852523,zeta5^4,0.3090169944,-0.9510565163
347,3A,2,4,1,1,+zeta10^4,-0.8090169944,0.5877852523,zeta5^4,0.3090169944,-0.9510565163
349,5B/5A,4,0,-1,phi,-zeta10^0*phi,-1.618033989,0,zeta5^0,1,0
353,2A,1,1,0,0,0,0,0,zeta5^1,0.3090169944,0.9510565163
359,3A,2,1,-1,1,-zeta10^1,-0.8090169944,-0.5877852523,zeta5^1,0.3090169944,0.9510565163
367,3A,2,2,-1,1,-zeta10^2,-0.3090169944,-0.9510565163,zeta5^2,-0.8090169944,0.5877852523
373,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
379,3A,2,2,1,1,+zeta10^2,0.3090169944,0.9510565163,zeta5^2,-0.8090169944,0.5877852523
383,2A,1,0,0,0,0,0,0,zeta5^0,1,0
389,2A,1,0,0,0,0,0,0,zeta5^0,1,0
397,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
401,3A,2,3,1,1,+zeta10^3,-0.3090169944,0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
409,2A,1,2,0,0,0,0,0,zeta5^2,-0.8090169944,0.5877852523
419,5A/5B,3,0,-1,1/phi,-zeta10^0*1/phi,-0.6180339888,0,zeta5^0,1,0
421,3A,2,2,-1,1,-zeta10^2,-0.3090169944,-0.9510565163,zeta5^2,-0.8090169944,0.5877852523
431,2A,1,2,0,0,0,0,0,zeta5^2,-0.8090169944,0.5877852523
433,2A,1,0,0,0,0,0,0,zeta5^0,1,0
439,3A,2,4,1,1,+zeta10^4,-0.8090169944,0.5877852523,zeta5^4,0.3090169944,-0.9510565163
443,5A/5B,3,3,-1,1/phi,-zeta10^3*1/phi,0.1909830056,-0.5877852523,zeta5^3,-0.8090169944,-0.5877852523
449,2A,1,2,0,0,0,0,0,zeta5^2,-0.8090169944,0.5877852523
457,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
461,2A,1,0,0,0,0,0,0,zeta5^0,1,0
463,3A,2,0,1,1,+zeta10^0,1,0,zeta5^0,1,0
467,5B/5A,4,3,1,phi,+zeta10^3*phi,-0.5,1.538841769,zeta5^3,-0.8090169944,-0.5877852523
479,3A,2,1,-1,1,-zeta10^1,-0.8090169944,-0.5877852523,zeta5^1,0.3090169944,0.9510565163
487,2A,1,2,0,0,0,0,0,zeta5^2,-0.8090169944,0.5877852523
491,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
499,5B/5A,4,1,1,phi,+zeta10^1*phi,1.309016994,0.9510565163,zeta5^1,0.3090169944,0.9510565163
503,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
509,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
521,2A,1,0,0,0,0,0,0,zeta5^0,1,0
523,5B/5A,4,2,1,phi,+zeta10^2*phi,0.5,1.538841769,zeta5^2,-0.8090169944,0.5877852523
